,0
0,171015687
1,43037835
2,56245075
3,28544157
4,477373578
5,238679850
6,136801374
7,422783777
8,133668525
9,211622525
10,160945505
11,172076928
12,113929605
13,335477657
14,320314960
15,390532085
16,45408703
17,28767189
18,92071675
19,74152591
20,85838210
21,107509799
22,218815487
23,110500138
24,65845974
25,5728940
26,167510016
27,113502426
28,165363234
29,59623958
30,48919043
31,150415432
32,4719928
33,62253077
34,34746945
35,31569268
36,45729221
37,39322544
38,113502426
39,28714231
40,100125643
41,47212904
42,45634352
43,69030436
44,22782371
45,333718600
46,159227644
47,32914489
48,39014193
49,27426361
50,36001502
51,4376819
52,183637894
53,77911774
54,35552383
55,111543479
56,41667116
57,158874395
58,73123082
59,97104620
60,70662220
61,17300439
62,61270390
63,213767512
64,47160000
65,117540947
66,31581712
67,77591831
68,133110742
69,108101214
70,10867104
71,55691208
72,150117807
73,83482352
74,87404651
75,33370906
76,96042913
77,68947075
78,59623958
79,11136084
80,53715611
81,56846802
82,48546770
83,106954678
84,7233471
85,80001807
86,110359362
87,25621766
88,50023780
89,125305545
90,83453539
91,26395642
92,59020957
93,130164645
94,67363237
95,60477943
96,131168070
97,14343976
98,55683845
99,8750000
100,35291068
101,153642180
102,22680962
103,90135191
104,11977130
105,35417038
106,31762808
107,83140306
108,50439
109,101005703
110,76289
111,105956290
112,19170001
113,765561
114,34017028
115,45018541
116,93602326
117,52287414
118,166244045
119,33370166
120,22260900
121,36261763
122,102308889
123,59696144
124,45216793
125,37957682
126,5083
127,104963598
128,5958315
129,70334258
130,1658790
131,28539757
132,24537621
133,33244684
134,4553271
135,30316271
136,80490
137,60655420
138,59891098
139,6613432
140,300460
141,186635
142,9277736
143,9651611
144,73286650
145,12534817
146,71215869
147,148504
148,163577
149,44451847
150,6546159
151,5332621
152,148768917
153,50188370
154,43082155
155,26010864
156,20150241
157,16649539
158,173837933
159,18302607
160,123276
161,30354442
162,25514517
163,21072
164,636673
165,50722
166,549602
167,71583916
168,32720065
169,44307191
170,1988546
171,31424003
172,2528078
173,22370452
174,2294915
175,496059
176,35150750
177,400209
178,22055313
179,35419122
180,405904
181,1333124
182,6563605
183,1359
184,6401336
185,20457151
186,7518
187,2172949
188,45896028
189,1618497
190,33405481
191,545597
192,1730597
193,990230
194,1633208
195,12320845
196,9039891
197,17156058
198,19206207
199,1876298
200,1115008
201,86888546
202,4535154
203,3012615
204,663725
205,126737428
206,2949212
207,41012075
208,22345542
209,121697323
210,5801249
211,17695781
212,5979540
213,144201
214,2484230
215,27166770
216,4589490
217,313215
218,84809
219,9198356
220,59031057
221,12180032
222,371784
223,21709020
224,2410914
225,19656113
226,5284284
227,42741
228,3851855
229,58032443
230,3868
231,441366
232,8803865
233,3502600
234,5676486
235,2008385
236,83891
237,24313888
238,3153157
239,14051361
240,13539709
241,319976
242,15185672
243,434702
244,291477
245,11901145
246,159014
247,36000000
248,5043620
249,4950029
250,54766923
251,24262
252,3703184
253,2410795
254,137855863
255,33419
256,1036737
257,1783421
258,1050616
259,28087155
260,270128
261,187674
262,17956913
263,19005109
264,1163056
265,252
266,702354
267,4515719
268,849915
269,10523
270,130742922
271,60794
272,46382
273,1225852
274,727119
275,26284
276,40685
277,104732
278,4366949
279,7189808
280,323688
281,144396
282,437547
283,15499454
284,28273
285,1077584
286,725223
287,13347
288,830129
289,76916
290,7587485
291,2150
292,33817
293,302085
294,15007991
295,78935
296,2010613
297,11255
298,18169
299,424284
300,1534584
301,1635117
302,260136
303,23862
304,739711
305,236637
306,20056
307,158549
308,159218
309,4507
310,21250683
311,26972
312,4631
313,2705
314,164346
315,507
316,23216862
317,82774
318,96713
319,43796
320,81089
321,55188
322,583633
323,364716
324,5519569
325,80115
326,28252
327,1477
328,4600249
329,538179
330,26118851
331,2087228
332,2097362
333,17303
334,8213
335,24313888
336,14018
337,51456
338,19873
339,53144
340,27558
341,64988
342,784399
343,104806
344,5000000
345,6701
346,91002
347,611644
348,1581681
349,12918858
350,16080
