,0
0,7.1
1,7.0
2,7.4
3,8.4
4,6.6
5,7.4
6,7.7
7,6.9
8,7.3
9,6.3
10,6.6
11,7.6
12,5.3
13,6.4
14,7.2
15,7.5
16,7.8
17,6.7
18,7.1
19,5.2
20,5.2
21,7.0
22,7.1
23,7.3
24,7.1
25,5.9
26,6.8
27,6.3
28,8.5
29,4.4
30,5.8
31,6.0
32,5.3
33,4.5
34,6.4
35,6.8
36,7.3
37,9.0
38,6.6
39,8.6
40,7.7
41,7.2
42,6.2
43,8.2
44,6.6
45,5.8
46,7.7
47,5.7
48,7.1
49,5.9
50,7.7
51,6.7
52,7.1
53,8.2
54,7.9
55,6.1
56,6.5
57,6.6
58,6.7
59,7.7
60,5.2
61,7.8
62,7.6
63,6.2
64,6.6
65,6.5
66,5.3
67,7.3
68,6.8
69,7.0
70,7.3
71,6.4
72,7.4
73,5.6
74,6.8
75,5.4
76,6.9
77,7.1
78,7.5
79,6.6
80,7.8
81,7.2
82,6.7
83,6.6
84,6.2
85,6.3
86,7.0
87,6.5
88,6.1
89,7.3
90,7.2
91,6.0
92,6.1
93,6.7
94,6.9
95,6.9
96,7.5
97,6.6
98,6.0
99,6.5
100,5.8
101,6.6
102,5.4
103,5.3
104,3.2
105,6.9
106,7.7
107,6.5
108,7.3
109,6.7
110,6.0
111,6.2
112,7.4
113,7.1
114,7.1
115,7.6
116,7.8
117,6.5
118,6.1
119,6.5
120,5.9
121,7.1
122,6.2
123,5.6
124,6.7
125,5.8
126,7.0
127,7.6
128,5.8
129,6.8
130,5.4
131,7.5
132,8.0
133,5.5
134,6.5
135,8.0
136,6.6
137,5.9
138,6.5
139,5.4
140,6.7
141,6.3
142,7.9
143,6.7
144,7.2
145,6.8
146,6.1
147,8.1
148,5.3
149,6.5
150,6.2
151,6.3
152,6.5
153,6.8
154,6.3
155,7.8
156,5.6
157,6.2
158,5.2
159,7.2
160,6.9
161,6.9
162,6.0
163,5.7
164,6.4
165,6.8
166,7.5
167,6.6
168,5.5
169,6.9
170,7.1
171,5.9
172,7.6
173,7.8
174,7.1
175,7.3
176,7.1
177,7.3
178,8.1
179,6.0
180,6.3
181,6.9
182,6.2
183,5.8
184,8.0
185,7.7
186,7.6
187,6.9
188,5.2
189,6.0
190,5.6
191,5.5
192,7.2
193,7.0
194,6.2
195,6.5
196,6.7
197,4.8
198,7.1
199,6.2
200,5.8
201,5.9
202,5.9
203,5.7
204,6.2
205,6.0
206,6.6
207,7.2
208,5.5
209,8.1
210,7.7
211,7.2
212,7.3
213,5.9
214,5.8
215,5.6
216,5.4
217,5.8
218,5.9
219,7.2
220,6.1
221,6.4
222,5.6
223,6.2
224,4.6
225,6.7
226,4.3
227,7.4
228,6.8
229,7.6
230,7.5
231,5.2
232,6.3
233,7.0
234,5.9
235,6.9
236,7.6
237,6.8
238,6.6
239,7.5
240,7.3
241,6.1
242,6.9
243,6.5
244,8.0
245,6.6
246,6.1
247,6.2
248,6.8
249,7.1
250,8.2
251,7.6
252,6.2
253,6.2
254,7.4
255,7.0
256,5.6
257,6.6
258,7.5
259,6.6
260,7.3
261,6.8
262,6.9
263,6.9
264,7.1
265,6.3
266,6.7
267,7.4
268,6.5
269,6.7
270,5.1
271,7.3
272,7.0
273,7.8
274,6.3
275,5.1
276,7.6
277,6.4
278,5.8
279,5.4
280,6.7
281,5.9
282,5.5
283,7.4
284,5.6
285,7.2
286,6.8
287,6.7
288,7.4
289,5.6
290,7.0
291,6.4
292,6.7
293,7.2
294,6.0
295,5.0
296,7.0
297,7.3
298,7.7
299,5.6
300,6.2
301,5.4
302,6.7
303,6.5
304,5.5
305,7.4
306,7.4
307,6.6
308,7.2
309,5.5
310,5.3
311,6.5
312,8.3
313,5.5
314,6.5
315,6.6
316,5.5
317,6.3
318,6.8
319,5.9
320,7.7
321,6.5
322,8.5
323,7.1
324,5.4
325,6.4
326,6.4
327,7.0
328,4.8
329,6.4
330,5.5
331,7.1
332,8.1
333,6.7
334,6.7
335,8.0
336,7.1
337,5.8
338,4.4
339,6.2
340,6.4
341,5.6
342,5.5
343,5.7
344,6.4
345,6.3
346,5.2
347,5.5
348,6.1
349,6.3
350,6.0
351,7.3
352,6.0
353,5.8
354,5.1
355,6.5
356,6.8
357,4.4
358,6.8
359,6.9
360,5.2
361,6.9
362,6.9
363,6.7
364,6.1
365,5.7
366,7.1
367,6.8
368,7.2
369,5.7
370,6.6
371,6.4
372,6.3
373,7.4
374,5.5
375,7.3
376,5.9
377,4.8
378,7.7
379,6.8
380,5.9
381,6.3
382,7.5
383,7.7
384,6.2
385,7.0
386,3.0
387,7.8
388,6.9
389,7.5
390,6.5
391,7.1
392,7.1
393,6.7
394,6.7
395,5.3
396,6.0
397,5.9
398,6.4
399,6.6
400,7.1
401,6.2
402,5.8
403,6.0
404,6.8
405,7.1
406,6.2
407,6.0
408,7.1
409,7.3
410,6.8
411,7.6
412,7.4
413,7.4
414,7.2
415,7.2
416,5.9
417,7.1
418,4.5
419,4.6
420,7.5
421,7.7
422,6.3
423,5.3
424,7.5
425,7.0
426,7.8
427,6.3
428,7.0
429,6.4
430,6.9
431,5.9
432,7.7
433,7.5
434,7.7
435,7.0
436,6.5
437,6.9
438,7.2
439,5.6
440,7.2
441,7.3
442,7.0
443,6.1
444,6.5
445,8.1
446,6.7
447,6.7
448,6.9
449,6.8
450,6.8
451,6.9
452,7.3
453,6.5
454,7.6
455,8.0
456,6.4
457,6.8
458,7.1
459,6.6
460,7.3
461,7.5
462,5.5
463,7.6
464,7.8
465,6.8
466,7.1
467,5.8
468,5.3
469,8.0
470,7.4
471,5.8
472,5.4
473,6.8
474,5.4
475,5.7
476,6.6
477,5.8
478,7.4
479,6.3
480,7.7
481,5.6
482,7.6
483,7.7
484,2.1
485,7.2
486,7.3
487,7.1
488,5.7
489,6.6
490,5.7
491,7.2
492,7.3
493,7.3
494,8.6
495,5.4
496,7.1
497,7.1
498,6.5
499,6.6
500,6.7
501,4.5
502,6.2
503,8.2
504,6.4
505,7.4
506,5.4
507,6.7
508,6.2
509,7.5
510,7.5
511,7.0
512,4.6
513,7.2
514,6.4
515,4.8
516,7.7
517,6.6
518,5.7
519,6.4
520,7.3
521,7.2
522,5.1
523,7.5
524,8.0
525,6.0
526,7.9
527,7.5
528,8.1
529,7.7
530,6.6
531,7.9
532,6.8
533,6.5
534,7.3
535,7.6
536,6.2
537,7.5
538,6.3
539,4.5
540,5.6
541,6.0
542,6.4
543,7.3
544,6.5
545,8.6
546,7.0
547,7.1
548,7.8
549,6.9
550,5.5
551,6.6
552,6.5
553,5.9
554,6.3
555,5.7
556,5.9
557,7.2
558,6.6
559,6.6
560,6.3
561,5.8
562,7.1
563,6.4
564,6.2
565,7.0
566,6.0
567,7.4
568,6.8
569,4.9
570,6.9
571,6.5
572,6.9
573,6.1
574,7.3
575,7.6
576,7.3
577,7.4
578,5.5
579,6.2
580,5.2
581,6.6
582,7.4
583,6.1
584,6.1
585,6.9
586,6.8
587,6.4
588,7.8
589,6.6
590,6.4
591,7.3
592,7.6
593,6.5
594,6.8
595,7.3
596,6.5
597,7.5
598,6.0
599,7.4
600,5.1
601,3.1
602,7.0
603,5.4
604,7.2
605,7.1
606,5.8
607,8.2
608,7.0
609,6.1
610,3.9
611,6.1
612,6.8
613,7.1
614,6.8
615,5.6
616,7.3
617,6.2
618,7.5
619,6.3
620,5.8
621,6.4
622,6.8
623,6.8
624,5.8
625,6.6
626,8.2
627,6.4
628,8.2
629,4.8
630,5.6
