,0
0,7.4
1,7.4
2,7.4
3,7.1
4,6.8
5,7.0
6,8.6
7,8.5
8,5.3
9,6.5
10,7.4
11,8.7
12,6.6
13,8.4
14,6.7
15,7.4
16,8.3
17,9.3
18,8.0
19,5.9
20,7.3
21,7.6
22,6.9
23,6.0
24,5.7
25,4.4
26,6.3
27,6.9
28,7.9
29,6.8
30,6.8
31,6.5
32,4.5
33,6.2
34,6.6
35,6.8
36,7.2
37,6.1
38,6.9
39,6.8
40,8.6
41,7.7
42,8.4
43,6.4
44,7.4
45,8.0
46,8.2
47,8.1
48,6.1
49,7.1
50,7.6
51,7.2
52,8.0
53,7.7
54,7.9
55,7.6
56,6.4
57,6.4
58,6.7
59,7.0
60,6.2
61,6.1
62,7.0
63,6.9
64,7.7
65,7.1
66,7.3
67,7.3
68,4.3
69,7.8
70,7.4
71,7.5
72,7.2
73,7.3
74,7.3
75,7.9
76,8.5
77,6.2
78,6.8
79,7.6
80,5.8
81,6.7
82,5.7
83,8.0
84,4.4
85,5.6
86,5.9
87,5.4
88,7.4
89,5.6
90,7.7
91,7.5
92,7.3
93,7.8
94,7.3
95,6.1
96,5.7
97,4.5
98,6.6
99,6.8
100,6.9
101,7.3
102,7.1
103,7.9
104,7.5
105,5.4
106,6.8
107,6.7
108,5.8
109,7.5
110,5.6
111,6.6
112,5.2
113,6.2
114,6.3
115,6.6
116,7.3
117,8.1
118,7.0
119,5.6
120,5.0
121,7.3
122,8.0
123,7.6
124,5.8
125,7.1
126,4.6
127,6.3
128,6.0
129,6.0
130,7.5
131,6.6
132,7.0
133,6.6
134,7.1
135,6.8
136,5.1
137,7.1
138,7.8
139,7.2
140,6.6
141,6.8
142,6.8
143,7.6
144,6.8
145,5.5
146,6.9
147,7.0
148,8.5
149,5.1
150,6.0
151,6.4
152,6.9
153,6.5
154,6.7
155,8.2
156,5.1
157,6.7
158,7.7
159,6.4
160,7.3
161,3.9
162,7.8
163,5.6
164,6.2
165,6.5
166,3.6
167,7.4
168,4.6
169,5.6
170,7.3
171,7.3
172,6.7
173,6.2
174,6.9
175,7.1
176,6.5
177,7.3
178,6.4
179,5.6
180,4.8
181,6.1
182,5.4
183,5.8
184,7.0
185,7.6
186,5.5
187,5.4
188,5.6
189,6.3
190,7.3
191,6.0
192,7.4
193,5.7
194,6.7
195,7.6
196,8.1
197,6.7
198,7.1
199,6.4
200,4.9
201,6.8
202,6.8
203,7.2
204,7.3
205,7.0
206,6.8
207,6.5
208,7.5
209,7.0
210,4.8
211,7.5
212,6.5
213,6.1
214,7.7
215,2.8
216,5.6
217,7.7
218,5.7
219,6.5
220,6.6
221,5.6
222,6.2
223,7.4
224,6.6
225,6.9
226,7.4
227,5.8
228,7.6
229,6.2
230,6.4
231,6.1
232,7.1
233,5.5
234,7.0
235,6.5
236,6.8
237,6.8
238,6.2
239,7.6
240,7.4
241,4.9
242,6.2
243,5.9
244,5.4
245,6.9
246,6.6
247,6.6
248,6.8
249,5.9
250,7.7
251,5.0
252,6.7
253,6.8
254,6.8
255,6.5
256,6.4
257,6.6
258,6.8
259,5.1
260,7.5
261,5.3
262,8.2
263,5.5
264,7.2
265,3.7
266,7.1
267,7.3
268,7.2
269,5.7
270,8.6
271,5.2
272,6.4
273,5.8
274,5.8
275,5.4
276,5.9
277,6.7
278,8.0
279,6.8
280,6.6
281,6.1
282,7.9
283,6.5
284,7.6
285,6.5
286,6.2
287,6.3
288,6.8
289,6.1
290,6.3
291,4.6
292,6.0
293,6.1
294,5.1
295,6.5
296,6.6
297,5.1
298,4.4
299,7.3
300,7.7
301,7.1
302,6.7
303,5.8
304,7.8
305,6.8
306,6.6
307,7.3
308,5.4
309,7.2
310,7.4
311,5.9
312,6.4
313,6.5
314,6.4
315,5.2
316,5.2
317,5.4
318,6.0
319,8.5
320,6.7
321,7.4
322,6.7
323,6.5
324,6.4
325,6.2
326,5.6
327,7.1
328,7.5
329,4.9
330,7.4
331,7.2
332,7.3
333,6.4
334,6.9
335,6.8
336,5.9
337,6.4
338,6.3
339,7.5
340,6.7
341,7.7
342,7.0
343,7.2
344,6.1
345,5.8
346,6.2
347,8.2
348,7.6
349,4.6
350,6.9
