,0
0,66
1,71
2,63
3,87
4,64
5,71
6,66
7,65
8,53
9,38
10,35
11,80
12,46
13,44
14,52
15,76
16,77
17,50
18,59
19,27
20,41
21,71
22,64
23,62
24,66
25,42
26,55
27,54
28,89
29,33
30,N/A
31,48
32,48
33,17
34,51
35,64
36,87
37,95
38,63
39,65
40,85
41,53
42,49
43,57
44,43
45,47
46,72
47,38
48,68
49,21
50,74
51,67
52,88
53,69
54,49
55,44
56,55
57,60
58,66
59,87
60,37
61,72
62,88
63,57
64,43
65,52
66,49
67,75
68,84
69,41
70,57
71,48
72,86
73,39
74,81
75,51
76,53
77,57
78,81
79,74
80,76
81,59
82,50
83,53
84,42
85,39
86,58
87,72
88,43
89,84
90,66
91,54
92,66
93,55
94,74
95,N/A
96,67
97,65
98,30
99,34
100,35
101,60
102,19
103,29
104,30
105,56
106,87
107,29
108,62
109,66
110,57
111,45
112,49
113,60
114,68
115,71
116,61
117,82
118,38
119,38
120,N/A
121,84
122,57
123,60
124,N/A
125,41
126,75
127,53
128,45
129,25
130,42
131,62
132,58
133,56
134,60
135,58
136,60
137,36
138,66
139,41
140,52
141,61
142,61
143,74
144,60
145,67
146,37
147,93
148,39
149,48
150,39
151,49
152,59
153,67
154,N/A
155,74
156,63
157,62
158,52
159,83
160,80
161,76
162,54
163,28
164,47
165,42
166,91
167,69
168,42
169,21
170,85
171,60
172,62
173,74
174,87
175,66
176,88
177,77
178,83
179,52
180,43
181,78
182,42
183,78
184,89
185,81
186,70
187,76
188,31
189,64
190,43
191,48
192,60
193,68
194,58
195,44
196,75
197,22
198,59
199,40
200,31
201,42
202,45
203,55
204,39
205,56
206,48
207,73
208,26
209,88
210,75
211,61
212,63
213,59
214,46
215,18
216,27
217,67
218,49
219,74
220,64
221,92
222,44
223,45
224,39
225,62
226,N/A
227,89
228,71
229,81
230,89
231,55
232,58
233,77
234,68
235,65
236,71
237,80
238,61
239,83
240,86
241,57
242,69
243,59
244,79
245,67
246,61
247,49
248,77
249,87
250,91
251,65
252,64
253,50
254,48
255,52
256,30
257,65
258,85
259,67
260,83
261,65
262,60
263,71
264,59
265,N/A
266,66
267,77
268,66
269,49
270,36
271,69
272,56
273,N/A
274,59
275,25
276,71
277,61
278,57
279,53
280,69
281,70
282,55
283,56
284,63
285,80
286,72
287,72
288,91
289,49
290,66
291,67
292,49
293,77
294,70
295,38
296,70
297,76
298,78
299,56
300,66
301,54
302,81
303,70
304,67
305,71
306,71
307,72
308,67
309,50
310,46
311,51
312,85
313,40
314,32
315,63
316,39
317,N/A
318,67
319,N/A
320,84
321,77
322,89
323,80
324,57
325,69
326,44
327,70
328,49
329,72
330,58
331,69
332,78
333,70
334,66
335,N/A
336,56
337,53
338,43
339,42
340,69
341,58
342,10
343,58
344,48
345,60
346,29
347,63
348,65
349,70
350,59
351,66
352,67
353,49
354,66
355,54
356,72
357,48
358,53
359,82
360,74
361,79
362,61
363,53
364,68
365,31
366,83
367,66
368,72
369,66
370,42
371,78
372,N/A
373,68
374,41
375,78
376,35
377,53
378,73
379,70
380,37
381,67
382,69
383,68
384,64
385,58
386,N/A
387,82
388,70
389,80
390,67
391,56
392,72
393,82
394,75
395,N/A
396,82
397,30
398,56
399,79
400,66
401,46
402,55
403,48
404,77
405,77
406,41
407,66
408,69
409,71
410,61
411,64
412,72
413,83
414,60
415,82
416,80
417,69
418,28
419,29
420,83
421,N/A
422,71
423,61
424,83
425,83
426,N/A
427,89
428,67
429,48
430,72
431,63
432,82
433,76
434,77
435,77
436,48
437,72
438,73
439,22
440,76
441,N/A
442,75
443,79
444,68
445,70
446,62
447,41
448,63
449,77
450,67
451,55
452,59
453,65
454,76
455,74
456,75
457,52
458,79
459,61
460,84
461,53
462,30
463,N/A
464,70
465,46
466,78
467,75
468,N/A
469,74
470,N/A
471,65
472,N/A
473,56
474,N/A
475,N/A
476,43
477,31
478,76
479,68
480,N/A
481,N/A
482,79
483,81
484,30
485,72
486,62
487,47
488,25
489,35
490,40
491,N/A
492,N/A
493,78
494,90
495,51
496,77
497,69
498,61
499,66
500,53
501,17
502,N/A
503,65
504,76
505,76
506,69
507,71
508,67
509,N/A
510,62
511,63
512,N/A
513,64
514,37
515,22
516,81
517,58
518,N/A
519,N/A
520,78
521,82
522,31
523,83
524,80
525,62
526,50
527,38
528,75
529,61
530,66
531,88
532,66
533,57
534,70
535,78
536,56
537,N/A
538,31
539,10
540,N/A
541,49
542,57
543,56
544,55
545,59
546,68
547,67
548,78
549,N/A
550,30
551,63
552,70
553,36
554,64
555,33
556,36
557,46
558,57
559,57
560,59
561,48
562,51
563,48
564,70
565,64
566,N/A
567,83
568,59
569,64
570,66
571,58
572,66
573,75
574,78
575,76
576,75
577,70
578,N/A
579,43
580,52
581,78
582,60
583,60
584,65
585,46
586,35
587,65
588,77
589,48
590,57
591,78
592,72
593,53
594,72
595,78
596,55
597,86
598,35
599,76
600,35
601,N/A
602,55
603,52
604,68
605,51
606,52
607,94
608,81
609,52
610,17
611,54
612,52
613,55
614,58
615,49
616,72
617,70
618,70
619,50
620,58
621,55
622,65
623,66
624,31
625,75
626,65
627,60
628,66
629,59
630,56
