,0
0,73
1,68
2,51
3,58
4,64
5,61
6,61
7,88
8,19
9,58
10,71
11,73
12,43
13,59
14,58
15,69
16,65
17,82
18,81
19,53
20,53
21,56
22,62
23,48
24,43
25,33
26,54
27,57
28,82
29,72
30,61
31,47
32,17
33,54
34,17
35,41
36,53
37,35
38,57
39,64
40,65
41,61
42,66
43,45
44,43
45,76
46,78
47,84
48,60
49,72
50,68
51,58
52,76
53,47
54,84
55,88
56,60
57,55
58,55
59,70
60,50
61,44
62,61
63,62
64,87
65,67
66,59
67,68
68,24
69,91
70,83
71,68
72,90
73,30
74,76
75,58
76,94
77,61
78,72
79,73
80,36
81,47
82,38
83,79
84,N/A
85,38
86,49
87,31
88,91
89,52
90,78
91,43
92,59
93,76
94,57
95,63
96,33
97,14
98,58
99,73
100,74
101,70
102,84
103,84
104,67
105,35
106,64
107,N/A
108,69
109,71
110,60
111,65
112,13
113,70
114,31
115,50
116,78
117,75
118,73
119,41
120,43
121,70
122,66
123,55
124,45
125,55
126,25
127,79
128,54
129,50
130,80
131,51
132,58
133,58
134,N/A
135,67
136,N/A
137,59
138,80
139,65
140,61
141,71
142,60
143,62
144,55
145,34
146,74
147,51
148,96
149,24
150,39
151,40
152,85
153,80
154,66
155,78
156,39
157,68
158,77
159,64
160,85
161,19
162,74
163,63
164,64
165,60
166,9
167,70
168,29
169,52
170,63
171,68
172,84
173,42
174,76
175,N/A
176,50
177,77
178,54
179,39
180,22
181,51
182,53
183,31
184,77
185,70
186,48
187,50
188,53
189,43
190,78
191,63
192,78
193,28
194,75
195,81
196,88
197,55
198,56
199,77
200,25
201,79
202,48
203,73
204,57
205,50
206,51
207,55
208,68
209,57
210,28
211,89
212,55
213,57
214,75
215,32
216,46
217,78
218,50
219,51
220,77
221,35
222,58
223,64
224,65
225,74
226,81
227,43
228,83
229,50
230,47
231,57
232,87
233,55
234,60
235,63
236,43
237,66
238,57
239,71
240,89
241,36
242,43
243,54
244,42
245,71
246,65
247,N/A
248,77
249,52
250,86
251,38
252,66
253,71
254,55
255,65
256,92
257,40
258,80
259,25
260,85
261,30
262,91
263,10
264,80
265,N/A
266,86
267,83
268,N/A
269,N/A
270,86
271,55
272,37
273,77
274,67
275,53
276,57
277,58
278,73
279,72
280,70
281,53
282,81
283,70
284,82
285,51
286,49
287,34
288,64
289,64
290,77
291,N/A
292,75
293,54
294,30
295,51
296,72
297,66
298,44
299,76
300,78
301,80
302,69
303,60
304,N/A
305,68
306,67
307,63
308,57
309,77
310,65
311,70
312,46
313,32
314,72
315,N/A
316,40
317,54
318,64
319,89
320,70
321,71
322,40
323,77
324,57
325,67
326,66
327,70
328,66
329,N/A
330,62
331,N/A
332,N/A
333,38
334,54
335,66
336,75
337,69
338,N/A
339,80
340,N/A
341,63
342,68
343,71
344,52
345,54
346,44
347,N/A
348,80
349,46
350,66
