,0
0,Creed II
1,Shazam!
2,Harry Potter and the Chamber of Secrets
3,Spider-Man: Into the Spider-Verse
4,The Hunger Games: Mockingjay - Part 1
5,Boyka: Undisputed IV
6,How to Train Your Dragon: The Hidden World
7,Deadpool 2
8,Pacific Rim
9,Alita: Battle Angel
10,Terminator Genisys
11,Venom
12,Incredibles 2
13,The Nun
14,Batman v Superman: Dawn of Justice
15,Spirit: Stallion of the Cimarron
16,The Hunger Games: Catching Fire
17,How to Train Your Dragon 2
18,The Equalizer 2
19,Sing
20,Transformers: The Last Knight
21,Joseph: King of Dreams
22,The Curse of La Llorona
23,Ralph Breaks the Internet
24,The Prince of Egypt
25,Split
26,Kung Fu Panda 3
27,The Great Wall
28,Radius
29,Aquaman
30,Hotel Transylvania 3: Summer Vacation
31,Alien
32,God's Not Dead: A Light in Darkness
33,An Interview with God
34,Shark Tale
35,The Predator
36,Samson
37,The Grinch
38,Captain Marvel
39,Hereditary
40,Schindler's List
41,Alpha
42,Se7en
43,Get Out
44,Five Feet Apart
45,Despicable Me 3
46,(500) Days of Summer
47,The Thing
48,Glass
49,Heaven Is for Real
50,Evil Dead II
51,Mechanic: Resurrection
52,Deepwater Horizon
53,Dirty Grandpa
54,Down
55,Over the Hedge
56,Chicken Run
57,Green Book
58,Bohemian Rhapsody
59,Mortal Engines
60,Mr. & Mrs. Smith
61,Overlord
62,Bumblebee
63,The Boy Who Harnessed the Wind
64,Halloween
65,Goosebumps 2: Haunted Halloween
66,The Possession of Hannah Grace
67,I See You
68,Straight Outta Compton
69,Once Upon a Deadpool
70,A Star Is Born
71,Cold Pursuit
72,Hunter Killer
73,Fantastic Beasts: The Crimes of Grindelwald
74,What Men Want
75,The Lego Batman Movie
76,Widows
77,Passengers
78,Instant Family
79,Dragonheart 3: The Sorcerer's Curse
80,Escape Room
81,The Upside
82,Carrie
83,The Nutcracker and the Four Realms
84,Us
85,Blackhat
86,Overboard
87,The Ring
88,The Hate U Give
89,Disobedience
90,American Gangster
91,Point Break
92,Triple Frontier
93,A Dog's Way Home
94,Robin Hood
95,Inferno
96,The Change-Up
97,The Mule
98,Level 16
99,Antz
100,The Girl in the Spider's Web
101,First Man
102,The Founder
103,Greta
104,The Kid Who Would Be King
105,2 Guns
106,Polar
107,Crazy Rich Asians
108,Barabbas
109,Upgrade
110,Dumbo
111,The Lego Movie 2: The Second Part
112,Daddy's Home 2
113,Self/less
114,Kin
115,Batman vs Teenage Mutant Ninja Turtles
116,Mamma Mia! Here We Go Again
117,Replicas
118,A-X-L
119,Slender Man
120,Hellraiser
121,Birdman or (The Unexpected Virtue of Ignorance)
122,Peppermint
123,Beautiful Boy
124,12 Feet Deep
125,Mary Poppins Returns
126,The Scorpion King 4: Quest for Power
127,Tangled: Before Ever After
128,The House with a Clock in Its Walls
129,American Assassin
130,K-PAX
131,Bad Times at the El Royale
132,The Man with the Iron Heart
133,Fighting with My Family
134,Siberia
135,Searching
136,Bilby
137,Ferris Bueller's Day Off
138,Survivor
139,PAW Patrol: Mighty Pups
140,Leprechaun Returns
141,Prospect
142,Mandy
143,The Report
144,Mile 22
145,Pet Sematary
146,A Question of Faith
147,Booksmart
148,The Death of Superman
149,Aquaman: Heroines of Atlantis
150,Happy Death Day 2U
151,Triple Threat
152,Good Boys
153,Mary Queen of Scots
154,Miss Bala
155,"Yes, God, Yes"
156,Spy
157,Lost Highway
158,Wonder Park
159,Patch Adams
160,Renegades
161,42
162,Big Fish
163,Don't Be Afraid of the Dark
164,Look Away
165,Under the Silver Lake
166,Day of the Dead: Bloodline
167,Papillon
168,Smallfoot
169,The Captive
170,Crimson Peak
171,Hop
172,Singularity
173,Safe House
174,Suspiria
175,Anchorman 2: The Legend Continues
176,Dancer in the Dark
177,Colette
178,I Kill Giants
179,The Crucifixion
180,Christopher Robin
181,Long Shot
182,Justice League vs. the Fatal Five
183,Mercury Rising
184,The Poughkeepsie Tapes
185,Momentum
186,Freaks
187,Spotlight
188,Slaughterhouse Rulez
189,The Girl on the Train
190,Johnny English Strikes Again
191,The Cloverfield Paradox
192,Don't Let Go
193,"Extremely Wicked, Shockingly Evil and Vile"
194,The Queen's Corgi
195,The Clovehitch Killer
196,Summer of 84
197,Blood Father
198,A Simple Favor
199,A.I. Rising
200,The Hard Way
201,Welcome Home
202,Serenity
203,The Hole in the Ground
204,Destroyer
205,Close
206,Brawl in Cell Block 99
207,Reign of the Supermen
208,The Dirt
209,All the Devil's Men
210,SuperFly
211,The Marine 6: Close Quarters
212,Backtrace
213,'71
214,We Die Young
215,Sorry to Bother You
216,Dragged Across Concrete
217,"Oh, Ramona!"
218,Velvet Buzzsaw
219,At Eternity's Gate
220,Captive State
221,Little Italy
222,Burlesque
223,Brimstone
224,The House That Jack Built
225,The Vanishing
226,Discarnate
227,The Favourite
228,The Miseducation of Cameron Post
229,Darlin'
230,The Highwaymen
231,Breaking In
232,Wildling
233,The Healer
234,The Adventures of Ichabod and Mr. Toad
235,Life Itself
236,First Reformed
237,Isn't It Romantic
238,Hotel Mumbai
239,Awakenings
240,Can You Ever Forgive Me?
241,Iron Sky: The Coming Race
242,mid90s
243,Leave No Trace
244,The Nightingale
245,Free Solo
246,The Spy Who Dumped Me
