,0
0,83.0
1,90.0
2,82.0
3,97.0
4,69.0
5,90.0
6,84.0
7,72.0
8,61.0
9,26.0
10,30.0
11,93.0
12,25.0
13,29.0
14,69.0
15,90.0
16,92.0
17,52.0
18,71.0
19,16.0
20,28.0
21,88.0
22,79.0
23,78.0
24,86.0
25,35.0
26,65.0
27,62.0
28,98.0
29,10.0
30,60.0
31,35.0
32,34.0
33,25.0
34,59.0
35,79.0
36,90.0
37,98.0
38,80.0
39,82.0
40,98.0
41,53.0
42,59.0
43,84.0
44,37.0
45,51.0
46,95.0
47,30.0
48,82.0
49,10.0
50,77.0
51,75.0
52,97.0
53,77.0
54,60.0
55,26.0
56,59.0
57,82.0
58,91.0
59,96.0
60,21.0
61,88.0
62,90.0
63,68.0
64,37.0
65,36.0
66,42.0
67,90.0
68,91.0
69,30.0
70,81.0
71,50.0
72,93.0
73,32.0
74,93.0
75,33.0
76,46.0
77,71.0
78,97.0
79,84.0
80,81.0
81,71.0
82,59.0
83,43.0
84,23.0
85,26.0
86,70.0
87,92.0
88,38.0
89,87.0
90,81.0
91,60.0
92,90.0
93,64.0
94,91.0
95,89.0
96,88.0
97,84.0
98,21.0
99,19.0
100,35.0
101,79.0
102,11.0
103,64.0
104,8.0
105,70.0
106,91.0
107,13.0
108,68.0
109,80.0
110,65.0
111,34.0
112,42.0
113,74.0
114,93.0
115,92.0
116,81.0
117,90.0
118,23.0
119,51.0
120,40.0
121,96.0
122,71.0
123,67.0
124,37.0
125,21.0
126,95.0
127,68.0
128,34.0
129,21.0
130,33.0
131,81.0
132,75.0
133,61.0
134,59.0
135,77.0
136,76.0
137,28.0
138,73.0
139,24.0
140,53.0
141,75.0
142,69.0
143,87.0
144,72.0
145,81.0
146,21.0
147,97.0
148,38.0
149,44.0
150,37.0
151,43.0
152,79.0
153,84.0
154,74.0
155,82.0
156,83.0
157,74.0
158,51.0
159,96.0
160,93.0
161,79.0
162,43.0
163,13.0
164,37.0
165,60.0
166,93.0
167,86.0
168,27.0
169,14.0
170,94.0
171,69.0
172,77.0
173,86.0
174,98.0
175,80.0
176,100.0
177,86.0
178,98.0
179,49.0
180,27.0
181,87.0
182,42.0
183,82.0
184,100.0
185,91.0
186,95.0
187,90.0
188,16.0
189,74.0
190,27.0
191,33.0
192,62.0
193,88.0
194,58.0
195,43.0
196,88.0
197,16.0
198,72.0
199,34.0
200,8.0
201,64.0
202,42.0
203,73.0
204,35.0
205,74.0
206,73.0
207,95.0
208,39.0
209,99.0
210,82.0
211,65.0
212,82.0
213,66.0
214,44.0
215,8.0
216,23.0
217,62.0
218,24.0
219,96.0
220,81.0
221,89.0
222,31.0
223,31.0
224,11.0
225,74.0
226,64.0
227,99.0
228,90.0
229,96.0
230,97.0
231,68.0
232,66.0
233,91.0
234,75.0
235,92.0
236,83.0
237,94.0
238,67.0
239,96.0
240,91.0
241,71.0
242,80.0
243,57.0
244,89.0
245,83.0
246,58.0
247,33.0
248,95.0
249,95.0
250,99.0
251,89.0
252,72.0
253,43.0
254,59.0
255,53.0
256,7.0
257,83.0
258,98.0
259,82.0
260,92.0
261,78.0
262,77.0
263,89.0
264,67.0
265,29.0
266,82.0
267,94.0
268,67.0
269,56.0
270,16.0
271,91.0
272,64.0
273,70.0
274,72.0
275,5.0
276,93.0
277,75.0
278,45.0
279,39.0
280,87.0
281,64.0
282,57.0
283,68.0
284,68.0
285,90.0
286,88.0
287,85.0
288,97.0
289,54.0
290,47.0
291,80.0
292,37.0
293,86.0
294,84.0
295,29.0
296,77.0
297,96.0
298,88.0
299,100.0
300,81.0
301,50.0
302,88.0
303,79.0
304,65.0
305,100.0
306,88.0
307,90.0
308,94.0
309,46.0
310,20.0
311,73.0
312,97.0
313,12.0
314,31.0
315,63.0
316,20.0
317,58.0
318,68.0
319,41.0
320,99.0
321,92.0
322,98.0
323,92.0
324,59.0
325,74.0
326,54.0
327,91.0
328,37.0
329,98.0
330,51.0
331,82.0
332,97.0
333,91.0
334,83.0
335,100.0
336,61.0
337,50.0
338,28.0
339,37.0
340,82.0
341,62.0
342,42.0
343,67.0
344,63.0
345,86.0
346,20.0
347,72.0
348,82.0
349,94.0
350,68.0
351,79.0
352,73.0
353,42.0
354,48.0
355,57.0
356,89.0
357,37.0
358,47.0
359,92.0
360,76.0
361,96.0
362,78.0
363,46.0
364,83.0
365,17.0
366,99.0
367,82.0
368,86.0
369,64.0
370,75.0
371,88.0
372,80.0
373,86.0
374,41.0
375,89.0
376,40.0
377,67.0
378,79.0
379,81.0
380,26.0
381,82.0
382,87.0
383,92.0
384,80.0
385,66.0
386,40.0
387,98.0
388,87.0
389,93.0
390,98.0
391,66.0
392,94.0
393,89.0
394,93.0
395,20.0
396,68.0
397,22.0
398,48.0
399,100.0
400,92.0
401,62.0
402,70.0
403,52.0
404,92.0
405,100.0
406,39.0
407,89.0
408,84.0
409,94.0
410,78.0
411,97.0
412,95.0
413,90.0
414,56.0
415,95.0
416,93.0
417,92.0
418,19.0
419,14.0
420,94.0
421,66.0
422,87.0
423,83.0
424,97.0
425,94.0
426,100.0
427,100.0
428,87.0
429,43.0
430,100.0
431,65.0
432,97.0
433,83.0
434,91.0
435,84.0
436,54.0
437,87.0
438,95.0
439,3.0
440,93.0
441,100.0
442,92.0
443,92.0
444,74.0
445,91.0
446,90.0
447,26.0
448,88.0
449,97.0
450,87.0
451,77.0
452,86.0
453,69.0
454,96.0
455,95.0
456,85.0
457,59.0
458,83.0
459,69.0
460,96.0
461,70.0
462,7.0
463,93.0
464,90.0
465,48.0
466,87.0
467,77.0
468,29.0
469,77.0
470,100.0
471,82.0
472,100.0
473,100.0
474,63.0
475,13.0
476,47.0
477,17.0
478,93.0
479,86.0
480,86.0
481,71.0
482,98.0
483,85.0
484,2.0
485,79.0
486,70.0
487,75.0
488,22.0
489,32.0
490,28.0
491,100.0
492,43.0
493,91.0
494,93.0
495,61.0
496,100.0
497,82.0
498,73.0
499,71.0
500,68.0
501,25.0
502,29.0
503,88.0
504,81.0
505,93.0
506,80.0
507,79.0
508,86.0
509,100.0
510,81.0
511,47.0
512,50.0
513,85.0
514,34.0
515,18.0
516,83.0
517,70.0
518,30.0
519,100.0
520,91.0
521,92.0
522,8.0
523,93.0
524,100.0
525,50.0
526,83.0
527,36.0
528,96.0
529,73.0
530,89.0
531,98.0
532,82.0
533,55.0
534,83.0
535,88.0
536,41.0
537,92.0
538,55.0
539,13.0
540,14.0
541,51.0
542,80.0
543,53.0
544,57.0
545,80.0
546,72.0
547,81.0
548,93.0
549,90.0
550,7.0
551,77.0
552,77.0
553,100.0
554,56.0
555,12.0
556,12.0
557,67.0
558,43.0
559,43.0
560,71.0
561,35.0
562,65.0
563,56.0
564,25.0
565,73.0
566,38.0
567,90.0
568,64.0
569,75.0
570,80.0
571,72.0
572,85.0
573,87.0
574,98.0
575,90.0
576,94.0
577,65.0
578,25.0
579,55.0
580,71.0
581,93.0
582,73.0
583,79.0
584,72.0
585,43.0
586,57.0
587,62.0
588,94.0
589,41.0
590,50.0
591,91.0
592,93.0
593,67.0
594,78.0
595,91.0
596,60.0
597,97.0
598,7.0
599,97.0
600,12.0
601,0.0
602,66.0
603,53.0
604,81.0
605,68.0
606,40.0
607,98.0
608,96.0
609,53.0
610,9.0
611,49.0
612,49.0
613,67.0
614,59.0
615,45.0
616,83.0
617,25.0
618,94.0
619,45.0
620,49.0
621,53.0
622,78.0
623,63.0
624,8.0
625,80.0
626,88.0
627,47.0
628,75.0
