,0
0,89.0
1,86.0
2,54.0
3,64.0
4,77.0
5,70.0
6,79.0
7,93.0
8,8.0
9,62.0
10,90.0
11,88.0
12,39.0
13,69.0
14,71.0
15,90.0
16,81.0
17,91.0
18,88.0
19,64.0
20,61.0
21,65.0
22,69.0
23,42.0
24,22.0
25,10.0
26,62.0
27,67.0
28,97.0
29,81.0
30,75.0
31,33.0
32,25.0
33,70.0
34,56.0
35,32.0
36,53.0
37,31.0
38,67.0
39,88.0
40,82.0
41,86.0
42,82.0
43,39.0
44,51.0
45,92.0
46,89.0
47,89.0
48,84.0
49,83.0
50,85.0
51,63.0
52,78.0
53,38.0
54,92.0
55,92.0
56,73.0
57,60.0
58,68.0
59,68.0
60,48.0
61,57.0
62,82.0
63,69.0
64,96.0
65,70.0
66,78.0
67,74.0
68,12.0
69,95.0
70,90.0
71,76.0
72,92.0
73,67.0
74,77.0
75,80.0
76,98.0
77,77.0
78,81.0
79,89.0
80,41.0
81,42.0
82,26.0
83,85.0
84,100.0
85,23.0
86,40.0
87,26.0
88,91.0
89,68.0
90,97.0
91,45.0
92,76.0
93,81.0
94,81.0
95,85.0
96,20.0
97,11.0
98,71.0
99,91.0
100,88.0
101,86.0
102,96.0
103,88.0
104,88.0
105,13.0
106,68.0
107,37.0
108,91.0
109,86.0
110,67.0
111,84.0
112,35.0
113,86.0
114,18.0
115,82.0
116,93.0
117,92.0
118,84.0
119,32.0
120,45.0
121,91.0
122,89.0
123,64.0
124,34.0
125,58.0
126,0.0
127,87.0
128,43.0
129,67.0
130,84.0
131,54.0
132,66.0
133,72.0
134,69.0
135,81.0
136,50.0
137,81.0
138,91.0
139,85.0
140,64.0
141,92.0
142,64.0
143,77.0
144,63.0
145,24.0
146,79.0
147,62.0
148,98.0
149,24.0
150,21.0
151,25.0
152,89.0
153,83.0
154,74.0
155,92.0
156,29.0
157,88.0
158,96.0
159,72.0
160,84.0
161,10.0
162,82.0
163,83.0
164,79.0
165,62.0
166,24.0
167,90.0
168,14.0
169,52.0
170,82.0
171,87.0
172,89.0
173,42.0
174,79.0
175,72.0
176,46.0
177,86.0
178,51.0
179,34.0
180,16.0
181,58.0
182,55.0
183,8.0
184,80.0
185,95.0
186,33.0
187,58.0
188,55.0
189,27.0
190,91.0
191,77.0
192,82.0
193,13.0
194,88.0
195,96.0
196,99.0
197,63.0
198,63.0
199,92.0
200,18.0
201,85.0
202,51.0
203,95.0
204,85.0
205,78.0
206,60.0
207,59.0
208,77.0
209,79.0
210,12.0
211,97.0
212,33.0
213,66.0
214,82.0
215,19.0
216,64.0
217,95.0
218,48.0
219,51.0
220,86.0
221,23.0
222,58.0
223,82.0
224,83.0
225,83.0
226,88.0
227,41.0
228,93.0
229,43.0
230,58.0
231,71.0
232,98.0
233,57.0
234,79.0
235,82.0
236,50.0
237,82.0
238,72.0
239,93.0
240,99.0
241,21.0
242,31.0
243,35.0
244,30.0
245,89.0
246,71.0
247,49.0
248,95.0
249,51.0
250,89.0
251,29.0
252,82.0
253,90.0
254,53.0
255,87.0
256,89.0
257,40.0
258,94.0
259,5.0
260,98.0
261,9.0
262,99.0
263,42.0
264,90.0
265,0.0
266,96.0
267,92.0
268,80.0
269,67.0
270,95.0
271,68.0
272,11.0
273,82.0
274,62.0
275,39.0
276,59.0
277,64.0
278,91.0
279,88.0
280,93.0
281,43.0
282,79.0
283,79.0
284,87.0
285,39.0
286,33.0
287,22.0
288,88.0
289,81.0
290,84.0
291,17.0
292,80.0
293,70.0
294,12.0
295,73.0
296,90.0
297,48.0
298,20.0
299,96.0
300,88.0
301,92.0
302,87.0
303,67.0
304,70.0
305,89.0
306,82.0
307,81.0
308,59.0
309,94.0
310,67.0
311,64.0
312,52.0
313,31.0
314,98.0
315,0.0
316,37.0
317,50.0
318,87.0
319,98.0
320,91.0
321,88.0
322,36.0
323,92.0
324,50.0
325,86.0
326,81.0
327,84.0
328,87.0
329,75.0
330,72.0
331,79.0
332,81.0
333,47.0
334,70.0
335,82.0
336,76.0
337,82.0
338,80.0
339,97.0
340,93.0
341,88.0
342,73.0
343,89.0
344,50.0
345,53.0
346,34.0
347,86.0
348,94.0
349,19.0
350,93.0
