,0
0,John Wick: Chapter 2
1,John Wick: Chapter 3 - Parabellum
2,Shazam!
3,Avengers: Endgame
4,Fast & Furious Presents: Hobbs & Shaw
5,Thor
6,After
7,The Lion King
8,It Chapter Two
9,Grown Ups
10,Toy Story 4
11,The Matrix
12,Maleficent: Mistress of Evil
13,Joker
14,Spider-Man: Far From Home
15,Fight Club
16,The Curse of La Llorona
17,Annabelle Comes Home
18,Alita: Battle Angel
19,Aladdin
20,Fantastic Beasts and Where to Find Them
21,Fractured
22,Rio 2
23,Godzilla: King of the Monsters
24,The First Purge
25,An Interview with God
26,Dark Phoenix
27,Knives Out
28,Hellboy
29,Captain Marvel
30,Descendants 3
31,It
32,Pokémon Detective Pikachu
33,Ghostland
34,Red Shoes and the Seven Dwarfs
35,Overcomer
36,Rambo: Last Blood
37,Redcon-1
38,The Age of Adaline
39,Resident Evil: Damnation
40,Five Feet Apart
41,Love & Other Drugs
42,GoodFellas
43,Ready or Not
44,Godzilla
45,The Lorax
46,The Goonies
47,Steven Universe: The Movie
48,Angel Has Fallen
49,A Dog's Journey
50,Jaws
51,Vivarium
52,Ford v Ferrari
53,Crawl
54,The Irishman
55,Midsommar
56,2001: A Space Odyssey
57,Once Upon a Time… in Hollywood
58,Just Mercy
59,Brian Banks
60,The Angry Birds Movie 2
61,The Secret Life of Pets 2
62,The Magnificent Seven
63,Brightburn
64,Ghostbusters
65,Abominable
66,The Legend of Tarzan
67,I See You
68,Alvin and the Chipmunks: Chipwrecked
69,Escape Room
70,The Lighthouse
71,Donnie Darko
72,Back to the Future Part II
73,Jojo Rabbit
74,Porno
75,28 Weeks Later
76,Black Hawk Down
77,Apocalypse Now
78,Scary Stories to Tell in the Dark
79,Alvin and the Chipmunks: The Road Chip
80,London Has Fallen
81,Cold Pursuit
82,The Bourne Identity
83,Resident Evil: Degeneration
84,Lawrence of Arabia
85,Skyscraper
86,Men in Black: International
87,Hellboy II: The Golden Army
88,Dumbo
89,Uncut Gems
90,Prospect
91,Skin
92,The Art of Racing in the Rain
93,Instant Family
94,Dora and the Lost City of Gold
95,The Mortuary Collection
96,Greta
97,Stomp the Yard
98,Gone with the Wind
99,A-X-L
100,Breakthrough
101,Us
102,Rosemary's Baby
103,PAW Patrol: Mighty Pups
104,Marriage Story
105,What Men Want
106,Booksmart
107,The Mule
108,A Dog's Way Home
109,Beautiful Boy
110,The Hustle
111,Night Hunter
112,The Report
113,Get Rich or Die Tryin'
114,Good Boys
115,The Hate U Give
116,Little Nicky
117,The Vigil
118,Triple Threat
119,Crazy Rich Asians
120,Haunt
121,Bride Wars
122,The Lego Movie 2: The Second Part
123,Kin
124,Pet Sematary
125,Teen Titans Go! vs. Teen Titans
126,Color Out of Space
127,London Fields
128,Dredd
129,Red Dawn
130,Replicas
131,47 Meters Down: Uncaged
132,Mary Queen of Scots
133,Time Trap
134,The House That Jack Built
135,Aquaslash
136,The Silence
137,Barnyard
138,Scooby-Doo! Return to Zombie Island
139,Wonder Park
140,The King
141,The Shallows
142,Escape Plan: The Extractors
143,Cold Blood
144,Winchester
145,Hustlers
146,Look Away
147,Trouble
148,Shaft
149,Rocketman
150,Waves
151,Batman: Hush
152,Cold Skin
153,Child's Play
154,Antrum
155,Long Shot
156,Lying and Stealing
157,Little
158,The Healer
159,The Informer
160,Motherless Brooklyn
161,Hotel Mumbai
162,Doom: Annihilation
163,On the Basis of Sex
