,0
0,171015687
1,43037835
2,56245075
3,28544157
4,477373578
5,238679850
6,136801374
7,422783777
8,133668525
9,211622525
10,160945505
11,172076928
12,113929605
13,335477657
14,320314960
15,390532085
16,45408703
17,28767189
18,92071675
19,74152591
20,85838210
21,107509799
22,218815487
23,110500138
24,65845974
25,5728940
26,167510016
27,113502426
28,165363234
29,59623958
30,48919043
31,150415432
32,144174568
33,4719928
34,62253077
35,34746945
36,31569268
37,45729221
38,39322544
39,113502426
40,28714231
41,100125643
42,47212904
43,45634352
44,69030436
45,22782371
46,333718600
47,159227644
48,32914489
49,39014193
50,27426361
51,36001502
52,4376819
53,183637894
54,77911774
55,35552383
56,111543479
57,41667116
58,158874395
59,73123082
60,97104620
61,70662220
62,17300439
63,61270390
64,213767512
65,47160000
66,117540947
67,31581712
68,77591831
69,133110742
70,108101214
71,10867104
72,55691208
73,150117807
74,83482352
75,87404651
76,33370906
77,96042913
78,68947075
79,59623958
80,11136084
81,53715611
82,56846802
83,48546770
84,106954678
85,7233471
86,80001807
87,110359362
88,25621766
89,50023780
90,125305545
91,83453539
92,26395642
93,59020957
94,130164645
95,67363237
96,60477943
97,131168070
98,14343976
99,55683845
100,8750000
101,35291068
102,153642180
103,22680962
104,90135191
105,11977130
106,35417038
107,31762808
108,83140306
109,50439
110,101005703
111,76289
112,105956290
113,19170001
114,765561
115,34017028
116,45018541
117,93602326
118,52287414
119,166244045
120,33370166
121,22260900
122,36261763
123,102308889
124,59696144
125,45216793
126,37957682
127,5083
128,104963598
129,5958315
130,70334258
131,1658790
132,28539757
133,24537621
134,33244684
135,4553271
136,30316271
137,80490
138,60655420
139,59891098
140,6613432
141,300460
142,186635
143,9277736
144,9651611
145,73286650
146,12534817
147,71215869
148,148504
149,163577
150,44451847
151,6546159
152,5332621
153,148768917
154,50188370
155,43082155
156,26010864
157,20150241
158,16649539
159,173837933
160,18302607
161,123276
162,30354442
163,25514517
164,21072
165,636673
166,50722
167,549602
168,71583916
169,32720065
170,44307191
171,1988546
172,31424003
173,2528078
174,22370452
175,2294915
176,496059
177,35150750
178,400209
179,22055313
180,35419122
181,405904
182,1333124
183,6563605
184,1359
185,6401336
186,20457151
187,7518
188,2172949
189,45896028
190,1618497
191,33405481
192,545597
193,1730597
194,990230
195,1633208
196,12320845
197,9039891
198,17156058
199,19206207
200,1876298
201,1115008
202,86888546
203,4535154
204,3012615
205,663725
206,126737428
207,2949212
208,41012075
209,22345542
210,121697323
211,5801249
212,17695781
213,5979540
214,144201
215,2484230
216,27166770
217,4589490
218,313215
219,84809
220,9198356
221,59031057
222,12180032
223,371784
224,21709020
225,2410914
226,19656113
227,5284284
