,0
0,7.4
1,7.4
2,7.4
3,7.1
4,6.8
5,7.0
6,8.6
7,8.5
8,5.3
9,6.5
10,7.4
11,8.7
12,6.6
13,8.4
14,6.7
15,7.4
16,8.3
17,9.3
18,8.0
19,5.9
20,7.3
21,7.6
22,6.9
23,6.0
24,5.7
25,4.4
26,6.3
27,6.9
28,7.9
29,6.8
30,6.8
31,6.5
32,6.5
33,4.5
34,6.2
35,6.6
36,6.8
37,7.2
38,6.1
39,6.9
40,6.8
41,8.6
42,7.7
43,8.4
44,6.4
45,7.4
46,8.0
47,8.2
48,8.1
49,6.1
50,7.1
51,7.6
52,7.2
53,8.0
54,7.7
55,7.9
56,7.6
57,6.4
58,6.4
59,6.7
60,7.0
61,6.2
62,6.1
63,7.0
64,6.9
65,7.7
66,7.1
67,7.3
68,7.3
69,4.3
70,7.8
71,7.4
72,7.5
73,7.2
74,7.3
75,7.3
76,7.9
77,8.5
78,6.2
79,6.8
80,7.6
81,5.8
82,6.7
83,5.7
84,8.0
85,4.4
86,5.6
87,5.9
88,5.4
89,7.4
90,5.6
91,7.7
92,7.5
93,7.3
94,7.8
95,7.3
96,6.1
97,5.7
98,4.5
99,6.6
100,6.8
101,6.9
102,7.3
103,7.1
104,7.9
105,7.5
106,5.4
107,6.8
108,6.7
109,5.8
110,7.5
111,5.6
112,6.6
113,5.2
114,6.2
115,6.3
116,6.6
117,7.3
118,8.1
119,7.0
120,5.6
121,5.0
122,7.3
123,8.0
124,7.6
125,5.8
126,7.1
127,4.6
128,6.3
129,6.0
130,6.0
131,7.5
132,6.6
133,7.0
134,6.6
135,7.1
136,6.8
137,5.1
138,7.1
139,7.8
140,7.2
141,6.6
142,6.8
143,6.8
144,7.6
145,6.8
146,5.5
147,6.9
148,7.1
149,8.5
150,5.1
151,6.0
152,6.4
153,6.9
154,6.5
155,6.7
156,8.2
157,5.1
158,6.7
159,7.7
160,6.4
161,7.3
162,3.9
163,7.8
164,5.6
165,6.2
166,6.5
167,3.6
168,7.4
169,4.6
170,5.6
171,7.3
172,7.3
173,6.7
174,6.2
175,6.9
176,7.1
177,6.5
178,7.3
179,6.4
180,5.6
181,4.8
182,6.1
183,5.4
184,5.8
185,7.0
186,7.6
187,5.5
188,5.4
189,5.6
