,0
0,73
1,68
2,51
3,58
4,64
5,61
6,61
7,88
8,19
9,58
10,71
11,73
12,43
13,59
14,58
15,69
16,65
17,82
18,81
19,53
20,53
21,56
22,62
23,48
24,43
25,33
26,54
27,57
28,82
29,72
30,61
31,47
32,53
33,17
34,54
35,17
36,41
37,53
38,35
39,57
40,64
41,65
42,61
43,66
44,45
45,43
46,76
47,78
48,84
49,60
50,72
51,68
52,58
53,76
54,47
55,84
56,88
57,60
58,55
59,55
60,70
61,50
62,44
63,61
64,62
65,87
66,67
67,59
68,68
69,24
70,91
71,83
72,68
73,90
74,30
75,76
76,58
77,94
78,61
79,72
80,73
81,36
82,47
83,38
84,79
85,N/A
86,38
87,49
88,31
89,91
90,52
91,78
92,43
93,59
94,76
95,57
96,63
97,33
98,14
99,58
100,73
101,74
102,70
103,84
104,84
105,67
106,35
107,64
108,N/A
109,69
110,71
111,60
112,65
113,13
114,70
115,31
116,50
117,78
118,75
119,73
120,41
121,43
122,70
123,66
124,55
125,45
126,55
127,25
128,79
129,54
130,50
131,80
132,51
133,58
134,58
135,N/A
136,67
137,N/A
138,59
139,80
140,65
141,61
142,71
143,60
144,62
145,55
146,34
147,74
148,51
149,96
150,24
151,39
152,40
153,85
154,80
155,66
156,78
157,39
158,68
159,77
160,64
161,85
162,19
163,74
164,63
165,64
166,60
167,9
168,70
169,29
170,52
171,63
172,68
173,84
174,42
175,76
176,N/A
177,50
178,77
179,54
180,39
181,22
182,51
183,53
184,31
185,77
186,70
187,48
188,50
189,53
190,43
191,78
192,63
193,78
194,28
195,75
196,81
197,88
198,55
199,56
200,77
201,25
202,79
203,48
204,73
205,57
206,50
207,51
208,55
209,68
210,57
211,28
212,89
213,55
214,57
215,75
216,32
217,46
218,78
219,50
220,51
221,77
222,35
223,58
224,64
225,65
226,74
227,81
228,43
229,83
230,50
231,47
232,57
233,87
234,55
235,60
236,63
237,43
238,66
239,63
240,57
241,71
242,89
243,36
244,43
245,54
246,42
247,71
248,65
249,N/A
250,77
251,52
252,86
253,38
254,66
255,71
256,55
257,65
258,92
259,40
260,80
261,25
262,85
263,30
264,91
265,10
266,80
267,N/A
268,86
269,83
270,N/A
271,N/A
272,86
273,55
274,37
275,77
276,67
277,53
278,57
279,58
280,73
281,72
282,70
283,53
284,81
285,70
286,82
287,51
288,71
289,49
290,34
291,64
292,64
293,77
294,N/A
295,75
296,54
297,30
298,51
299,72
300,66
301,44
302,76
303,78
304,80
305,69
306,60
307,N/A
308,68
309,67
310,63
311,57
312,77
313,65
314,70
315,46
316,32
317,72
318,N/A
319,40
320,54
321,64
322,89
323,70
324,71
325,40
326,77
327,57
328,67
329,66
330,70
331,66
332,N/A
333,62
334,N/A
335,N/A
336,38
337,54
338,66
339,75
340,69
341,N/A
342,80
343,N/A
344,63
345,68
346,71
347,52
348,54
349,44
350,N/A
351,80
352,46
353,66
354,76
355,59
356,30
357,N/A
358,74
359,72
360,80
361,53
362,53
363,74
364,29
365,70
366,64
367,53
368,63
369,61
370,74
371,41
372,75
373,71
374,63
375,73
376,80
377,31
378,N/A
379,65
380,N/A
381,28
382,56
383,N/A
384,49
385,80
386,63
387,79
388,71
389,N/A
390,82
391,31
392,89
393,62
394,57
395,42
396,75
397,90
398,62
399,76
400,74
401,36
402,N/A
403,80
404,83
405,87
406,61
407,64
408,80
409,27
410,N/A
411,N/A
412,76
413,N/A
414,56
415,64
416,78
417,75
418,69
419,52
420,47
421,70
422,65
423,55
424,N/A
425,38
426,55
427,45
428,41
429,64
430,43
431,78
432,49
433,70
434,75
435,89
436,57
437,65
438,61
439,98
440,61
441,58
442,N/A
443,97
444,N/A
445,43
446,62
447,55
448,68
449,39
450,33
451,56
452,66
453,75
454,66
455,65
456,41
457,79
458,58
459,32
460,51
461,44
462,84
463,75
464,42
465,29
466,N/A
467,51
468,52
469,62
470,74
471,39
472,31
473,45
474,39
475,25
476,57
477,40
478,67
479,61
480,56
481,57
482,88
483,52
484,53
485,31
486,64
487,68
488,56
489,77
490,44
491,70
492,52
493,78
494,90
495,79
496,N/A
497,N/A
498,62
499,53
500,64
501,52
502,69
503,74
504,68
505,94
506,41
507,54
508,83
509,65
510,58
511,30
512,62
513,27
514,40
515,34
516,N/A
517,60
518,90
519,56
520,85
521,N/A
522,31
523,79
524,43
525,65
526,55
527,55
528,100
529,79
530,62
531,74
532,N/A
533,62
534,39
535,N/A
536,68
537,80
538,87
539,N/A
540,83
541,35
542,68
543,71
544,66
545,N/A
546,56
547,58
548,57
549,60
550,29
551,56
552,79
553,61
554,55
555,18
556,N/A
557,78
558,83
559,N/A
560,64
561,N/A
562,81
563,N/A
564,56
565,29
566,65
567,59
568,66
569,18
570,76
571,73
572,70
573,N/A
574,68
575,81
576,55
577,77
578,64
579,65
580,60
581,34
582,70
583,53
584,40
585,N/A
586,41
587,N/A
588,55
589,N/A
590,49
591,63
592,N/A
593,49
594,57
595,85
596,66
597,85
598,66
599,55
600,30
601,47
602,N/A
603,12
604,47
605,30
606,36
607,69
608,55
609,76
610,69
611,64
