,0
0,89.0
1,83.0
2,95.0
3,90.0
4,85.0
5,54.0
6,97.0
7,18.0
8,93.0
9,90.0
10,90.0
11,90.0
12,89.0
13,30.0
14,83.0
15,29.0
16,90.0
17,79.0
18,44.0
19,84.0
20,18.0
21,94.0
22,28.0
23,88.0
24,95.0
25,64.0
26,42.0
27,17.0
28,65.0
29,83.0
30,97.0
31,98.0
32,60.0
33,81.0
34,59.0
35,22.0
36,79.0
37,90.0
38,98.0
39,60.0
40,96.0
41,44.0
42,53.0
43,57.0
44,38.0
45,51.0
46,37.0
47,83.0
48,74.0
49,73.0
50,26.0
51,9.0
52,94.0
53,94.0
54,71.0
55,77.0
56,35.0
57,26.0
58,91.0
59,71.0
60,88.0
61,77.0
62,82.0
63,91.0
64,77.0
65,96.0
66,21.0
67,67.0
68,90.0
69,98.0
70,94.0
71,76.0
72,68.0
73,63.0
74,37.0
75,36.0
76,73.0
77,33.0
78,42.0
79,91.0
80,100.0
81,87.0
82,30.0
83,81.0
84,45.0
85,50.0
86,87.0
87,32.0
88,93.0
89,90.0
90,39.0
91,23.0
92,92.0
93,77.0
94,62.0
95,92.0
96,17.0
97,46.0
98,86.0
99,71.0
100,97.0
101,71.0
102,81.0
103,59.0
104,43.0
105,48.0
106,13.0
107,84.0
108,70.0
109,76.0
110,66.0
111,60.0
112,93.0
113,90.0
114,91.0
115,81.0
116,41.0
117,78.0
118,26.0
119,88.0
120,84.0
121,35.0
122,62.0
123,73.0
124,36.0
125,47.0
126,11.0
127,87.0
128,85.0
129,11.0
130,88.0
131,13.0
132,68.0
133,80.0
134,93.0
135,89.0
136,93.0
137,60.0
138,62.0
139,0.0
140,67.0
141,91.0
142,21.0
143,72.0
144,90.0
145,67.0
146,51.0
147,86.0
148,96.0
149,20.0
150,71.0
151,67.0
152,21.0
153,34.0
154,31.0
155,84.0
156,23.0
157,59.0
158,88.0
159,87.0
160,81.0
161,62.0
162,0.0
163,88.0
164,51.0
165,38.0
166,79.0
167,26.0
168,82.0
169,83.0
170,74.0
171,93.0
172,59.0
173,79.0
174,43.0
175,13.0
176,60.0
177,89.0
178,34.0
179,93.0
180,29.0
181,86.0
182,59.0
183,27.0
184,14.0
185,50.0
186,94.0
187,77.0
188,98.0
189,55.0
190,80.0
191,64.0
192,100.0
193,98.0
194,27.0
195,87.0
196,63.0
197,82.0
198,90.0
199,51.0
200,74.0
201,94.0
202,34.0
203,52.0
204,28.0
205,68.0
206,27.0
207,33.0
208,58.0
209,35.0
210,62.0
211,90.0
212,88.0
213,91.0
214,41.0
215,58.0
216,43.0
217,88.0
218,72.0
219,8.0
220,34.0
221,82.0
222,58.0
223,8.0
224,92.0
225,42.0
226,73.0
227,35.0
228,24.0
229,74.0
230,73.0
231,54.0
232,99.0
233,65.0
234,20.0
235,30.0
236,44.0
237,23.0
238,62.0
239,89.0
240,67.0
241,11.0
242,18.0
243,59.0
244,64.0
245,99.0
246,25.0
247,90.0
248,96.0
249,9.0
250,66.0
251,92.0
252,94.0
253,67.0
254,91.0
255,71.0
256,80.0
257,57.0
258,87.0
259,77.0
260,83.0
261,81.0
262,90.0
263,58.0
264,95.0
265,95.0
266,99.0
267,72.0
268,43.0
269,59.0
270,89.0
271,55.0
272,83.0
273,98.0
274,22.0
275,87.0
276,92.0
277,78.0
278,78.0
279,55.0
280,52.0
281,82.0
282,67.0
283,56.0
284,85.0
285,87.0
286,72.0
287,70.0
288,93.0
289,45.0
290,87.0
291,57.0
292,51.0
293,68.0
294,90.0
295,11.0
296,97.0
297,54.0
298,67.0
299,67.0
300,84.0
301,59.0
302,96.0
303,75.0
304,50.0
305,36.0
306,47.0
307,43.0
308,95.0
309,91.0
310,79.0
311,17.0
312,81.0
313,65.0
314,87.0
315,71.0
316,75.0
317,46.0
318,20.0
319,91.0
320,29.0
321,64.0
322,12.0
323,41.0
324,68.0
325,64.0
326,98.0
327,92.0
328,74.0
329,91.0
330,59.0
331,98.0
332,82.0
333,67.0
334,40.0
335,83.0
336,96.0
337,97.0
338,37.0
339,95.0
340,67.0
341,34.0
342,95.0
343,86.0
344,72.0
345,66.0
346,90.0
347,70.0
348,53.0
349,73.0
350,42.0
351,48.0
352,92.0
353,76.0
354,87.0
355,78.0
356,54.0
357,90.0
358,96.0
359,82.0
360,75.0
361,86.0
362,93.0
363,84.0
364,75.0
365,88.0
366,57.0
367,89.0
368,67.0
369,79.0
370,81.0
371,88.0
372,82.0
373,87.0
374,100.0
375,89.0
376,89.0
377,98.0
378,9.0
379,100.0
380,89.0
381,96.0
382,67.0
383,93.0
384,88.0
385,34.0
386,81.0
387,71.0
388,100.0
389,38.0
390,100.0
391,100.0
392,17.0
393,89.0
394,78.0
395,97.0
396,19.0
397,56.0
398,100.0
399,95.0
400,92.0
401,86.0
402,60.0
403,14.0
404,67.0
405,97.0
406,22.0
407,82.0
408,47.0
409,100.0
