,0
0,7.4
1,7.4
2,7.0
3,7.0
4,7.0
5,5.3
6,8.5
7,6.5
8,5.9
9,8.7
10,6.6
11,8.4
12,7.4
13,8.8
14,5.2
15,5.9
16,7.3
17,8.0
18,7.2
19,6.3
20,6.0
21,5.2
22,5.8
23,5.7
24,7.9
25,6.8
26,6.8
27,7.3
28,6.6
29,7.2
30,7.2
31,6.1
32,8.7
33,6.8
34,6.4
35,7.7
36,6.4
37,7.4
38,8.1
39,6.1
40,7.1
41,8.3
42,7.6
43,7.2
44,6.4
45,6.4
46,6.8
47,6.1
48,7.8
49,7.0
50,6.2
51,4.3
52,6.4
53,7.4
54,8.0
55,7.8
56,7.9
57,6.9
58,7.7
59,8.5
60,6.2
61,4.9
62,5.9
63,6.2
64,7.9
65,8.3
66,5.8
67,5.6
68,7.0
69,7.4
70,7.5
71,7.3
72,6.1
73,6.0
74,5.4
75,8.2
76,5.3
77,6.2
78,6.8
79,5.3
80,7.1
81,7.0
82,6.7
83,7.3
84,5.4
85,5.4
86,6.7
87,7.5
88,5.3
89,5.8
90,5.6
91,6.9
92,5.4
93,6.6
94,5.8
95,6.5
96,6.2
97,3.9
98,7.1
99,5.3
100,5.4
101,5.0
102,6.8
103,5.6
104,5.8
105,6.3
106,4.6
107,5.4
108,6.3
109,6.0
110,7.5
111,6.6
112,6.8
113,7.8
114,6.6
115,6.8
116,7.6
117,7.1
118,6.1
119,6.8
120,8.5
121,7.1
122,6.4
123,6.5
124,6.7
125,5.1
126,6.5
127,6.7
128,6.9
129,7.3
130,6.0
131,8.0
132,6.5
133,7.8
134,5.6
135,6.8
136,6.2
137,6.7
138,6.5
139,3.6
140,4.6
141,4.3
142,6.5
143,5.7
144,7.3
145,5.8
146,6.7
147,7.0
148,6.7
149,6.2
150,6.9
151,5.8
152,7.1
153,7.3
154,5.6
155,6.6
156,6.1
157,5.4
158,7.6
159,5.4
160,5.6
161,6.5
162,7.1
163,6.3
164,7.2
165,8.1
166,6.5
167,6.1
168,6.3
169,5.2
170,7.4
171,6.6
172,7.4
173,5.7
174,6.7
175,8.0
176,8.1
177,6.9
178,6.9
179,6.4
180,4.9
181,5.9
182,6.8
183,7.0
184,5.3
185,7.2
186,7.8
187,7.3
188,7.1
189,7.5
190,6.5
191,6.1
192,4.7
193,8.2
194,6.4
195,7.1
196,7.7
197,7.8
198,5.6
199,6.6
200,7.7
201,6.9
202,6.2
203,6.5
204,5.6
205,7.4
206,5.6
207,6.2
208,6.6
209,7.4
210,5.8
211,6.3
212,6.4
213,5.6
214,6.2
215,6.8
216,6.2
217,6.1
218,7.1
219,6.1
220,6.8
221,7.3
222,6.8
223,5.4
224,5.5
225,7.4
226,4.9
227,5.9
228,7.5
229,5.4
230,6.9
231,6.0
232,6.4
233,5.8
234,6.8
235,5.9
236,6.7
237,6.9
238,6.7
239,6.8
240,6.1
241,6.6
242,7.3
243,5.5
244,6.4
245,6.5
246,6.8
247,5.3
248,7.4
249,4.5
250,7.5
251,6.3
252,6.8
253,8.2
254,5.5
255,7.2
256,8.1
257,8.2
258,5.3
259,7.3
260,7.7
261,5.7
262,5.2
263,6.1
264,6.7
265,5.8
266,5.6
267,6.4
268,5.8
269,6.7
270,7.0
271,5.9
272,6.7
273,8.0
274,6.8
275,6.6
276,6.1
277,6.5
278,7.6
279,6.5
280,6.1
281,4.6
282,6.0
283,6.1
284,6.7
285,6.6
286,6.9
287,7.3
288,6.5
289,7.7
290,7.0
291,7.7
292,7.1
293,5.8
294,7.8
295,6.6
296,4.9
297,6.8
298,7.3
299,7.5
300,5.4
301,7.2
302,5.9
303,7.4
304,7.0
305,6.8
306,5.9
307,6.4
308,5.2
309,5.4
310,6.8
311,6.0
312,8.5
313,7.4
314,6.3
315,6.1
316,5.4
317,6.5
318,6.5
319,6.2
320,5.4
321,6.2
322,7.3
323,7.1
324,6.3
325,7.3
326,6.0
327,7.5
328,7.4
329,6.4
330,6.5
331,8.1
332,6.4
333,6.9
334,5.7
335,8.1
336,7.5
337,5.8
338,4.8
339,5.3
340,7.8
341,8.1
342,7.4
343,5.7
344,7.0
345,7.2
346,7.0
347,6.5
348,8.2
349,6.1
350,5.9
351,7.6
352,7.5
353,6.9
354,7.1
355,6.6
356,7.6
357,5.7
358,7.0
359,6.0
360,5.1
361,7.4
362,5.7
363,8.0
364,4.8
365,5.3
366,6.7
367,7.2
368,7.5
369,6.5
370,7.7
371,7.0
372,6.9
373,5.4
374,4.9
375,4.9
376,7.6
377,6.8
378,7.8
379,6.3
380,7.3
381,7.2
382,6.6
383,6.7
384,7.3
385,4.6
386,4.3
387,7.3
388,6.1
389,6.6
390,6.3
391,5.2
392,7.1
393,6.5
394,7.2
395,8.4
396,6.8
397,7.7
398,5.9
399,7.4
400,6.3
401,5.2
402,7.2
403,8.0
404,6.5
405,6.7
406,6.2
407,6.5
408,6.1
409,6.3
410,6.8
411,5.2
412,3.8
413,5.5
414,7.8
415,7.0
416,6.1
417,7.0
418,6.5
419,6.8
420,7.3
421,6.5
422,5.3
423,8.4
424,7.2
425,7.6
426,6.5
427,6.5
428,7.0
429,6.1
430,6.7
431,7.5
432,6.5
433,8.0
434,3.1
435,7.4
436,6.8
437,6.9
