,0
0,75
1,73
2,71
3,61
4,57
5,30
6,88
7,58
8,30
9,73
10,43
11,59
12,69
13,66
14,41
15,53
16,53
17,86
18,66
19,49
20,48
21,54
22,N/A
23,43
24,82
25,72
26,64
27,69
28,17
29,51
30,53
31,51
32,91
33,64
34,62
35,62
36,45
37,43
38,87
39,60
40,72
41,84
42,68
43,58
44,60
45,55
46,54
47,44
48,71
49,61
50,44
51,24
52,48
53,83
54,88
55,57
56,58
57,78
58,74
59,94
60,61
61,33
62,28
63,57
64,68
65,100
66,51
67,38
68,78
69,91
70,43
71,57
72,63
73,54
74,44
75,97
76,29
77,46
78,81
79,49
80,84
81,58
82,50
83,62
84,35
85,45
86,N/A
87,81
88,38
89,69
90,60
91,74
92,24
93,65
94,35
95,38
96,70
97,16
98,60
99,31
100,19
101,43
102,42
103,42
104,45
105,59
106,25
107,28
108,79
109,50
110,80
111,58
112,67
113,80
114,61
115,60
116,62
117,59
118,66
119,55
120,96
121,68
122,40
123,80
124,66
125,39
126,67
127,68
128,45
129,66
130,64
131,86
132,52
133,74
134,63
135,76
136,64
137,47
138,60
139,9
140,29
141,37
142,60
143,49
144,63
145,61
146,84
147,79
148,38
149,42
150,76
151,41
152,N/A
153,77
154,39
155,69
156,36
157,53
158,70
159,50
160,53
161,59
162,85
163,43
164,61
165,83
166,62
167,58
168,49
169,52
170,78
171,75
172,62
173,28
174,75
175,89
176,88
177,69
178,78
179,77
180,25
181,45
182,48
183,62
184,39
185,73
186,93
187,57
188,89
189,89
190,55
191,57
192,24
193,75
194,45
195,87
196,85
197,79
198,32
199,48
200,78
201,80
202,40
203,51
204,35
205,70
206,30
207,58
208,65
209,81
210,43
211,62
212,63
213,49
214,50
215,65
216,62
217,57
218,87
219,61
220,43
221,66
222,66
223,69
224,26
225,89
226,36
227,54
228,N/A
229,42
230,71
231,70
232,79
233,57
234,77
235,52
236,62
237,65
238,66
239,71
240,43
241,61
242,49
243,45
244,92
245,66
246,80
247,46
248,91
249,57
250,85
251,59
252,67
253,91
254,10
255,80
256,95
257,86
258,64
259,83
260,68
261,N/A
262,55
263,36
264,53
265,77
266,54
267,85
268,67
269,56
270,66
271,57
272,58
273,73
274,72
275,70
276,51
277,70
278,82
279,51
280,64
281,N/A
282,75
283,54
284,63
285,72
286,73
287,76
288,33
289,84
290,70
291,78
292,80
293,60
294,N/A
295,67
296,53
297,60
298,63
299,62
300,57
301,77
302,34
303,65
304,N/A
305,72
306,69
307,72
308,40
309,54
310,57
311,64
312,89
313,71
314,82
315,58
316,46
317,N/A
318,77
319,42
320,61
321,66
322,53
323,N/A
324,70
325,78
326,N/A
327,66
328,62
329,69
330,78
331,95
332,38
333,24
334,31
335,78
336,80
337,49
338,49
339,26
340,65
341,87
342,51
343,66
344,68
345,71
346,N/A
347,67
348,N/A
349,64
350,52
351,80
352,71
353,66
354,40
355,46
356,76
357,45
358,55
359,59
360,30
361,68
362,42
363,77
364,53
365,37
366,75
367,72
368,80
369,62
370,73
371,68
372,70
373,55
374,41
375,53
376,N/A
377,61
378,82
379,56
380,80
381,71
382,41
383,75
384,71
385,29
386,45
387,73
388,41
389,80
390,N/A
391,28
392,56
393,67
394,82
395,N/A
396,68
397,68
398,80
399,72
400,71
401,31
402,82
403,64
404,69
405,82
406,N/A
407,N/A
408,51
409,57
410,68
411,N/A
412,N/A
413,84
414,N/A
415,75
416,62
417,57
418,83
419,87
420,N/A
421,50
422,61
423,52
424,73
425,80
426,61
427,48
428,67
429,55
430,48
431,58
432,61
433,74
434,N/A
435,55
436,N/A
437,N/A
