,0
0,171015687
1,115715889
2,109778883
3,140480049
4,678815482
5,56245075
6,190241310
7,12138565
8,169607287
9,160945505
10,408084349
11,390532085
12,232641920
13,213515506
14,201151353
15,330360194
16,424668047
17,37030102
18,124741
19,233005644
20,64063008
21,226277068
22,54733739
23,201091711
24,217350219
25,74152591
26,110500138
27,58060186
28,335104314
29,50151543
30,220159104
31,81900459
32,1201434
33,59623958
34,271384731
35,65845974
36,426829839
37,44069456
38,96898818
39,158874395
40,46909721
41,51872378
42,45729221
43,17300439
44,6216897
45,22782371
46,111048468
47,27426361
48,25003155
49,251409241
50,325100054
51,95673607
52,25568251
53,167445960
54,84410380
55,85080171
56,126643061
57,15951040
58,46357676
59,127440871
60,32732301
61,108638745
62,21704844
63,127195589
64,190071103
65,47160000
66,14837422
67,83482352
68,215333122
69,96042913
70,45306425
71,59020957
72,32138862
73,93432655
74,15767460
75,159555901
76,64665672
77,3438735
78,54611903
79,42402632
80,7233471
81,18343983
82,100014699
83,67363237
84,26483452
85,57005601
86,184208848
87,54858851
88,175084580
89,10867104
90,184069126
91,80001807
92,7705225
93,87404651
94,40713082
95,35552383
96,34916787
97,26713187
98,293506292
99,129128133
100,29719483
101,1807216
102,130164645
103,42004346
104,105269730
105,68420120
106,35417038
107,116089678
108,103804407
109,200676069
110,34393507
111,10532219
112,373585825
113,16790790
114,53424681
115,162924631
116,17616641
117,80080379
118,20374484
119,11977130
120,105956290
121,5718096
122,83077833
123,251409241
124,6874837
125,24449754
126,4046429
127,73921000
128,125595205
129,7696134
130,90404800
131,35418723
132,7649973
133,171958438
134,33800000
135,91077276
136,22958886
137,21156152
138,27838408
139,252676
140,14124284
141,36261763
142,39464775
143,33244684
144,1233694
145,70334258
146,57469467
147,48979328
148,22680962
149,76231249
150,28148130
151,76289
152,15006824
153,45216793
154,18620000
155,60311495
156,42194060
157,46083
158,16649539
159,5137622
160,30316271
161,148504
162,5083
163,25259
164,17273059
165,4665
166,8208
167,101440743
168,25514517
169,21072
170,1533324
171,17493096
172,8866745
173,2294915
174,5958315
175,990230
176,258106
177,4015935
178,16973715
179,34366783
180,20150241
181,904703
182,2022115
183,46840590
184,4102648
185,57005601
186,3448256
187,9651611
188,8803865
189,45896028
190,7362439
191,1735251
192,6046104
193,17541090
194,1618497
195,3143056
196,73286650
197,1225852
198,4211129
199,4535154
200,2138907
201,8047856
