,0
0,7.4
1,7.1
2,7.6
3,7.0
4,8.4
5,7.4
6,8.4
7,5.3
8,7.8
9,7.4
10,7.8
11,7.4
12,7.5
13,6.6
14,6.9
15,6.4
16,7.5
17,8.8
18,5.9
19,8.1
20,5.6
21,8.1
22,5.2
23,7.0
24,8.0
25,5.9
26,6.0
27,5.5
28,6.8
29,7.2
30,7.7
31,8.5
32,5.8
33,6.8
34,6.4
35,5.7
36,6.8
37,7.3
38,9.0
39,6.4
40,8.7
41,6.7
42,7.2
43,6.1
44,5.8
45,7.4
46,6.6
47,7.1
48,5.5
49,7.5
50,5.9
51,4.1
52,8.0
53,8.0
54,6.7
55,8.2
56,6.2
57,6.1
58,8.3
59,6.3
60,6.8
61,7.7
62,6.6
63,6.7
64,7.2
65,7.7
66,5.2
67,7.3
68,7.6
69,8.5
70,8.3
71,7.3
72,6.2
73,6.8
74,6.6
75,6.5
76,6.6
77,7.3
78,5.3
79,6.8
80,4.4
81,7.6
82,7.0
83,7.3
84,6.7
85,6.4
86,8.0
87,5.6
88,6.8
89,7.4
90,5.4
91,5.6
92,8.3
93,7.3
94,6.2
95,7.9
96,5.2
97,6.9
98,8.2
99,7.1
100,7.5
101,5.5
102,7.8
103,6.7
104,6.6
105,5.8
106,5.4
107,7.2
108,7.0
109,6.4
110,7.0
111,6.0
112,7.4
113,6.1
114,7.6
115,7.1
116,6.2
117,6.3
118,5.7
119,7.5
120,6.6
121,5.8
122,7.1
123,7.5
124,6.2
125,5.8
126,5.4
127,6.2
128,7.4
129,5.5
130,7.5
131,6.5
132,7.3
133,6.7
134,7.4
135,7.3
136,7.1
137,6.1
138,6.9
139,3.9
140,5.3
141,7.3
142,5.3
143,6.6
144,6.5
145,6.0
146,6.5
147,8.1
148,7.1
149,5.4
150,6.2
151,5.6
152,5.8
153,5.8
154,6.6
155,6.2
156,6.0
157,6.5
158,6.7
159,6.7
160,6.8
161,7.0
162,4.6
163,7.6
164,7.1
165,5.3
166,6.5
167,6.6
168,7.8
169,5.6
170,6.2
171,6.9
172,6.0
173,6.9
174,6.0
175,5.7
176,6.8
177,6.9
178,5.4
179,7.5
180,5.1
181,6.6
182,7.0
183,5.5
184,6.9
185,6.4
186,7.1
187,7.6
188,7.1
189,5.6
190,7.3
191,7.1
192,7.1
193,8.1
194,6.3
195,6.9
196,6.8
197,5.8
198,6.9
199,6.8
200,6.0
201,7.2
202,5.6
203,7.3
204,6.2
205,7.1
206,5.6
207,5.5
208,6.5
209,6.2
210,6.5
211,7.5
212,7.0
213,7.8
214,6.4
215,6.2
216,6.5
217,6.7
218,7.1
