,0
0,73
1,66
2,82
3,71
4,68
5,51
6,87
7,30
8,74
9,71
10,75
11,69
12,72
13,35
14,67
15,44
16,76
17,66
18,48
19,81
20,34
21,77
22,41
23,71
24,86
25,53
26,48
27,37
28,55
29,67
30,86
31,89
32,N/A
33,72
34,51
35,43
36,64
37,87
38,95
39,55
40,91
41,51
42,53
43,44
44,39
45,43
46,43
47,72
48,53
49,69
50,40
51,27
52,91
53,80
54,58
55,69
56,44
57,44
58,78
59,52
60,79
61,74
62,60
63,66
64,70
65,87
66,37
67,30
68,88
69,94
70,100
71,59
72,57
73,54
74,43
75,52
76,74
77,49
78,49
79,84
80,N/A
81,72
82,41
83,57
84,48
85,48
86,72
87,39
88,81
89,83
90,51
91,38
92,100
93,76
94,46
95,84
96,33
97,53
98,64
99,57
100,81
101,N/A
102,76
103,50
104,53
105,51
106,35
107,68
108,58
109,62
110,55
111,54
112,83
113,66
114,70
115,68
116,42
117,60
118,35
119,67
120,65
121,35
122,56
123,69
124,44
125,63
126,19
127,69
128,73
129,27
130,69
131,29
132,62
133,66
134,86
135,60
136,68
137,57
138,57
139,16
140,63
141,70
142,38
143,58
144,82
145,50
146,38
147,86
148,84
149,44
150,57
151,60
152,41
153,45
154,40
155,69
156,39
157,60
158,68
159,74
160,67
161,51
162,25
163,83
164,56
165,39
166,59
167,43
168,74
169,63
170,62
171,80
172,53
173,76
174,54
175,28
176,42
177,58
178,48
179,91
180,39
181,69
182,47
183,42
184,21
185,48
186,85
187,62
188,87
189,53
190,66
191,54
192,88
193,83
194,43
195,78
196,55
197,78
198,76
199,48
200,64
201,88
202,39
203,49
204,42
205,N/A
206,43
207,48
208,62
209,53
210,60
211,87
212,68
213,80
214,49
215,58
216,44
217,75
218,59
219,29
220,40
221,78
222,47
223,31
224,80
225,45
226,55
227,39
228,9
229,56
230,48
231,53
232,88
233,61
234,37
235,45
236,46
237,27
238,67
239,92
240,N/A
241,39
242,25
243,57
244,N/A
245,89
246,N/A
247,71
248,81
249,24
250,58
251,65
252,80
253,61
254,86
255,57
256,69
257,59
258,75
259,63
260,67
261,61
262,65
263,61
264,77
265,87
266,91
267,64
268,50
269,48
270,68
271,56
272,65
273,85
274,41
275,64
276,83
277,65
278,66
279,53
280,49
281,66
282,66
283,49
284,68
285,66
286,59
287,54
288,71
289,57
290,65
291,55
292,52
293,63
294,80
295,33
296,91
297,49
298,N/A
299,65
300,70
301,52
302,76
303,65
304,54
305,36
306,38
307,53
308,78
309,73
310,70
311,23
312,66
313,67
314,82
315,65
316,70
317,50
318,46
319,85
320,37
321,53
322,40
323,43
324,67
325,50
326,89
327,80
328,69
329,70
330,51
331,72
332,69
333,60
334,46
335,66
336,71
337,80
338,42
339,87
340,58
341,39
342,74
343,60
344,63
345,46
346,69
347,54
348,54
349,67
350,49
351,66
352,82
353,74
354,70
355,61
356,52
357,67
358,84
359,66
360,58
361,72
362,66
363,64
364,42
365,78
366,55
367,78
368,53
369,73
370,70
371,63
372,67
373,69
374,95
375,77
376,74
377,82
378,N/A
379,64
380,82
381,85
382,41
383,75
384,76
385,41
386,72
387,52
388,N/A
389,N/A
390,79
391,71
392,36
393,66
394,61
395,64
396,46
397,53
398,79
399,82
400,69
401,80
402,N/A
403,29
404,N/A
405,82
406,41
407,83
408,54
409,73
410,83
411,74
412,68
413,89
414,61
415,69
416,59
417,82
418,57
419,77
420,72
421,73
422,79
423,84
424,75
425,63
426,38
427,62
428,49
429,61
430,47
431,63
432,N/A
433,77
434,47
435,40
436,72
437,76
438,68
439,N/A
440,45
441,75
442,69
443,48
444,75
445,N/A
446,N/A
447,69
448,N/A
449,70
450,N/A
451,40
452,41
453,78
454,80
455,70
456,29
457,82
458,N/A
459,79
460,N/A
461,42
462,83
463,58
464,69
465,36
466,88
467,62
468,48
469,47
470,65
471,77
472,N/A
473,70
474,N/A
475,64
476,33
477,69
478,N/A
479,68
480,78
481,37
482,63
483,62
484,67
485,49
486,53
487,43
488,82
489,56
490,73
491,N/A
492,81
493,63
494,98
495,63
496,34
497,80
498,69
499,74
